Type,in variant,"Length
& DNA","Coordinates
on gene","Coordinates
on genome","Supporting
clones",From tissue (# clones)
Alternative exon 1,aAug10,133 bp,1 to 133,4182603 to 4182471,CN364177,"embryonic stem cells, cell lines H1, H7, andh9 (1)"
Alternative exon 2,bAug10,126 bp,8 to 133,4182596 to 4182471,"AF233396
and 2 others",spleen (1)
Alternative exon 3,rAug10,94 bp,40 to 133,4182564 to 4182471,"AK074810
and 3 others","heart (1), kidney (1), spleen (1)"
Alternative exon 4,oAug10,93 bp,41 to 133,4182563 to 4182471,"DA957370
and 3 others","spleen (1), testis (1)"
Alternative exon 5,eAug10,92 bp,42 to 133,4182562 to 4182471,"AK293348
and 2 others",
Alternative exon 6,sAug10,90 bp,44 to 133,4182560 to 4182471,"CB154991
and 3 others","brain (1), embryonic stem cell, retinoic acid andmitogen-treated hes cell line H7 (1)"
Alternative exon 7,nAug10,89 bp,45 to 133,4182559 to 4182471,"DA542072
and 8 others","lung, tumor tissue (2), alzheimer cortex (1), brain (1), colon (1) and 4 other tissues"
Alternative exon 8,"dAug10,lAug10,qAug10",73 bp,61 to 133,4182543 to 4182471,"BI767921
and 5 others","colon (1), embryonic stem cells, cell lines H1, H7, andh9 (1), leukocyte (1), pooled lung and spleen (1) and 2 other tissues"
Alternative exon 9,gAug10,72 bp,62 to 133,4182542 to 4182471,"CR590451
and 11 others","placenta cot 25-normalized (3), brain (2), fetal brain (2), leiomyosarcoma cell line (2) and 8 other tissues"
Alternative exon 10,fAug10,71 bp,63 to 133,4182541 to 4182471,"BC000090
and 3 others","eye (1), eye, retinoblastoma (1), placenta, choriocarcinoma (1), retinoblastoma (1) and 2 other tissues"
Alternative exon 11,iAug10,68 bp,66 to 133,4182538 to 4182471,"BU557843
and 2 others","adenocarcinoma, cell line (1), B cells from burkitt lymphoma (1), breast (1)"
Alternative exon 12,"jAug10,mAug10",60 bp,74 to 133,4182530 to 4182471,"BI821935
and 4 others","brain glioblastoma (1), ovary (pool of 3) (1), pooled brain, lung, testis (1), synovial membrane tissue from rheumatioidarthritis (1)"
Alternative exon 13,pAug10,53 bp,81 to 133,4182523 to 4182471,"BG421009
and 1 other","kidney (1), renal cell adenocarcinoma (1), small intestine (1)"
Alternative intron 1 [gt-ag],"aAug10,bAug10,dAug10,
gAug10,iAug10,jAug10,
lAug10,mAug10,nAug10,
qAug10,rAug10",1564 bp,134 to 1697,4182470 to 4180907,"CN364177
and 127 others","brain (16), lung (8), stomach (6), ascites (5) and 58 other tissues"
Alternative intron 2 [gt-ag],"eAug10,fAug10,oAug10,
sAug10",3187 bp,134 to 3320,4182470 to 4179284,"CN364177
and 132 others","brain (17), lung (8), kidney (6), stomach (6) and 56 other tissues"
